stage,oxygen_mg,saturation,kpa,temperature,dry_weight_g,mo2,mo2.1,mo2.2,mo2.3,mo2.4,kpa.mean
Juvenile,4,37.24,9.43,12,0.04199,0.018354197,0.437108761,0.013668191,13.66819141,0.573927357,9.44
Juvenile,4,37.24,9.43,12,0.05762,0.018493368,0.320953972,0.010036084,10.03608418,0.578279171,9.44
Juvenile,4,37.24,9.43,12,0.07994,0.018251443,0.228314277,0.007139283,7.139283207,0.5707143,9.44
Juvenile,4,37.24,9.43,12,0.06219,0.01835732,0.295181212,0.009230182,9.230181745,0.574025003,9.44
Megalopae,4,37.24,9.43,12,0.00062,0.000196997,0.317736508,0.009935476,9.935475545,0.006159995,9.44
Megalopae,4,37.24,9.43,12,0.00057,0.000167848,0.294469507,0.009207927,9.207927051,0.005248518,9.44
Megalopae,4,37.24,9.43,12,0.00051,0.000177204,0.347459695,0.010864906,10.86490603,0.005541102,9.44
Megalopae,4,37.24,9.43,12,0.00075,0.000186219,0.248292064,0.00776398,7.763979471,0.005822985,9.44
Megalopae,4,37.24,9.43,12,0.000868,0.000182613,0.210383147,0.006578585,6.578584953,0.005710212,9.44
Megalopae,4,37.24,9.43,12,0.000738,0.000177195,0.240102207,0.007507886,7.50788639,0.00554082,9.44
Megalopae,4,37.24,9.43,12,0.00075,0.000179784,0.239712,0.007495685,7.495684803,0.005621764,9.44
Megalopae,4,37.24,9.43,12,0.00071,0.000185215,0.260865996,0.008157161,8.1571606,0.005791584,9.44
Megalopae,4,37.24,9.43,12,0.000834,0.000191126,0.229167523,0.007165964,7.165963825,0.005976414,9.44
Megalopae,4,37.24,9.43,12,0.000834,0.000185257,0.222130867,0.006945931,6.945930792,0.005792906,9.44
Adult,6,55.85,14.14,12,0.662,0.20411871,0.30833642,0.009641539,9.64153907,6.382698864,14.15
Adult,6,55.85,14.14,12,0.623,0.192125455,0.308387568,0.009643138,9.643138446,6.007675252,14.15
Adult,6,55.85,14.14,12,0.7024,0.23999617,0.341680197,0.010684184,10.68418376,7.504570676,14.15
Adult,6,55.85,14.14,12,0.6184,0.155855238,0.252029816,0.007880857,7.88085728,4.873522142,14.15
Adult,6,55.85,14.14,12,0.5462,0.145495579,0.266377845,0.008329514,8.329513603,4.54958033,14.15
Adult,6,55.85,14.14,12,0.621,0.172636021,0.277996813,0.008692833,8.692833431,5.39824956,14.15
Adult,6,55.85,14.14,12,0.8026,0.190680311,0.237578259,0.007428964,7.428963704,5.962486269,14.15
Adult,6,55.85,14.14,12,0.6733,0.236960518,0.351938984,0.011004971,11.00497137,7.409647221,14.15
Adult,6,55.85,14.14,12,1.193,0.164999381,0.138306271,0.004324774,4.324773956,5.15945533,14.15
Adult,6,55.85,14.14,12,0.5708,0.150321231,0.263351841,0.008234892,8.234891835,4.700476259,14.15
Embryo,6,55.85,14.14,12,0.000085,7.69E-06,0.090448902,0.002828296,2.828295877,0.000240405,14.15
Embryo,6,55.85,14.14,12,0.000109,7.77E-06,0.071263273,0.00222837,2.228370017,0.000242892,14.15
Embryo,6,55.85,14.14,12,0.000097,6.21E-06,0.064003485,0.00200136,2.001359767,0.000194132,14.15
Embryo,6,55.85,14.14,12,0.00009242,6.01E-06,0.065045266,0.002033936,2.033935783,0.000187976,14.15
Embryo,6,55.85,14.14,12,0.000103,5.82E-06,0.056472152,0.001765858,1.765858417,0.000181883,14.15
